Solution Type,lambda,f1,f2,f3,Index in Pareto Front
L-Curve Solution,1.4397430290394784e-05,0.0,1.0,0.0,N/A
Best Solution,0.0013929936935280181,0.0,1.0,0.3474732609930605,76
Pareto Front Solution 0,0.022951978545778705,0.7061027583212603,0.03751583789948785,0.5598329668239941,0
Pareto Front Solution 1,0.36536400247100304,0.9842800737905086,0.0001846652888049537,0.031052114697377113,1
Pareto Front Solution 2,0.46119349018215416,0.9893828089441533,0.00010584495710464491,0.020978524865040912,2
Pareto Front Solution 3,0.5008884926585228,0.9909332638328231,8.550816143324299e-05,0.017916506792609484,3
Pareto Front Solution 4,0.44997854963660994,0.9888960369727601,0.00011257617353737748,0.021939746832532993,4
Pareto Front Solution 5,0.7174340503830428,0.9964025440929135,2.7124032142375726e-05,0.007110915070628711,5
Pareto Front Solution 6,0.23681419547465382,0.9711540357624869,0.0004721556712743956,0.056935820999237226,6
Pareto Front Solution 7,0.555221166748169,0.9927009776695871,6.436615628989331e-05,0.014424767598275708,7
Pareto Front Solution 8,0.9129293209471991,0.9991302644922281,5.74101838173537e-06,0.001719408749108348,8
Pareto Front Solution 9,0.4180707851594923,0.9873708519087736,0.00013474087069347064,0.024951159163063983,9
Pareto Front Solution 10,0.08857343789736999,0.9125145655921032,0.0033146733901932494,0.17192613055087275,10
Pareto Front Solution 11,0.704073508783541,0.9961614256187783,2.9261121658498613e-05,0.007587425565502291,11
Pareto Front Solution 12,0.31587505303080143,0.9804614526999925,0.00025565155399963807,0.03858663650127045,12
Pareto Front Solution 13,0.09176858016566841,0.9156204948701847,0.003097639737916053,0.1658670170411714,13
Pareto Front Solution 14,0.5637453414247917,0.9929478063061787,6.158703986883873e-05,0.013937155899614974,14
Pareto Front Solution 15,0.13845367407061748,0.9455204107953286,0.0013943846035391302,0.10734575485450233,15
Pareto Front Solution 16,0.9234119361229556,0.9992441713004204,4.959545930074468e-06,0.0014942314413568247,16
Pareto Front Solution 17,0.06476008492451925,0.8807472242491774,0.005985168460294534,0.23364727407387192,17
Pareto Front Solution 18,0.1425356982694069,0.9472516443272727,0.0013167496063352063,0.10394755787285423,18
Pareto Front Solution 19,0.5137890180352601,0.9913863286572527,7.988209151594234e-05,0.017021640370154877,19
Pareto Front Solution 20,0.9424812217762075,0.9994449385251412,3.6038744264917108e-06,0.0010973371586095527,20
Pareto Front Solution 21,0.28601197680515383,0.9775346732537411,0.0003170603934819267,0.04435904394394422,21
Pareto Front Solution 22,0.8011092933950088,0.9977314652103106,1.6065764332549336e-05,0.004484414689280939,22
Pareto Front Solution 23,0.46324001239873996,0.9894691346667227,0.00010466851662592463,0.020808053037289956,23
Pareto Front Solution 24,0.4332730713667307,0.9881250462219588,0.00012357690697956035,0.023462101470114887,24
Pareto Front Solution 25,0.776165337600669,0.997364990137457,1.899361121545069e-05,0.005208758669826836,25
Pareto Front Solution 26,0.6555260823339348,0.9952035056754229,3.814845431096384e-05,0.009480393481186882,26
Pareto Front Solution 27,0.37672840738628804,0.9850181602588575,0.00017213234647459158,0.029595393100361408,27
Pareto Front Solution 28,0.5979779657420451,0.9938690816384038,5.158786827903095e-05,0.012117052750196347,28
Pareto Front Solution 29,0.8042468458942483,0.9977759676673746,1.571652950021626e-05,0.00439645294763107,29
Pareto Front Solution 30,0.7154881176395054,0.9963679800285485,2.7427915073826683e-05,0.007179223072865361,30
Pareto Front Solution 31,0.9206152885692943,0.9992140338106817,5.1654400996411095e-06,0.0015538091647216393,31
Pareto Front Solution 32,0.1125697858537618,0.9318086723099366,0.0020896377555381703,0.13422402205445036,32
Pareto Front Solution 33,0.16185695109011075,0.9543152449976166,0.0010232605272860924,0.09007258349966281,33
Pareto Front Solution 34,0.24168175128569447,0.9718975359952483,0.00045257849005705345,0.05547086787638019,34
