Solution Type,lambda,f1,f2,f3,Index in Pareto Front
L-Curve Solution,1.1898791345562386e-05,0.0006336769900021834,0.007101964382795714,0.00019773457591086975,N/A
Best Solution,4.760807159285399e-05,0.0,1.0,0.0,0
Pareto Front Solution 0,4.760807159285399e-05,0.0,1.0,0.0,0
Pareto Front Solution 1,0.4525986322241201,1.0,0.0,0.0,1
Pareto Front Solution 2,3.453876393726115e-08,1.8418471615682323e-08,0.9996685812599098,0.9996761283731166,2
Pareto Front Solution 3,0.399199527325061,1.0,0.0,0.0,3
Pareto Front Solution 4,3.996765789035864e-05,0.0,1.0,0.0,4
Pareto Front Solution 5,2.0377241307376198e-08,1.591581045528642e-05,0.778019256330449,0.8388913593055122,5
Pareto Front Solution 6,2.125707654226197e-08,1.0868015275714621e-05,0.8383123680882799,0.8868096872068677,6
Pareto Front Solution 7,2.66205281092307e-08,1.1395656688433963e-05,0.8221173186818183,0.8609596537827746,7
Pareto Front Solution 8,4.0301547805232146e-08,2.0171123619079454e-05,0.6968993113036878,0.7111487506786892,8
Pareto Front Solution 9,1.0533598307499063e-07,1.0872244917469904e-05,0.8622067191948142,0.7408937728882508,9
Pareto Front Solution 10,9.599976975239362e-07,1.8562165074280243e-05,0.9477933264205067,0.6582605534077288,10
Pareto Front Solution 11,8.231150995321308e-08,1.0391344718669736e-05,0.8533548453419714,0.7925311134097983,11
Pareto Front Solution 12,3.499304221561885e-08,1.2663556953619922e-05,0.797351869443582,0.8142283841109356,12
Pareto Front Solution 13,1.7400472137746077e-07,2.7953249617635608e-05,0.7162482249183968,0.46115221615876695,13
Pareto Front Solution 14,9.101523677107152e-07,1.4259410650713185e-05,0.9602281005292433,0.6906074806866982,14
Pareto Front Solution 15,8.938514242661619e-07,6.20383977960384e-05,0.69086876129618,0.22392242223568368,15
Pareto Front Solution 16,1.4814455799360461e-06,8.13730113640221e-05,0.6660018334834976,0.13846661309809774,16
Pareto Front Solution 17,4.9016150752796e-08,4.511619725671597e-05,0.45200062732536817,0.4767410421073438,17
Pareto Front Solution 18,4.771434694014048e-08,2.832761571828938e-05,0.6033737969319516,0.6033363732364464,18
Pareto Front Solution 19,3.6259477992874224e-08,3.013366646345014e-05,0.5891366631316675,0.6380831122266672,19
Pareto Front Solution 20,8.638275197397236e-08,1.2155357813844609e-05,0.8322336963702824,0.7571249915802978,20
Pareto Front Solution 21,2.885220040131996e-08,1.1942810824082448e-06,0.9790449284855666,0.9822800024953581,21
Pareto Front Solution 22,3.691102528540128e-08,4.6920485290971875e-05,0.44615119465865577,0.523669875756277,22
Pareto Front Solution 23,3.779989141829723e-08,4.818941704911271e-05,0.4361078331749835,0.5121231186841476,23
Pareto Front Solution 24,1.1245686019597017e-07,2.1470499891364813e-05,0.7364428173226005,0.585700234446696,24
Pareto Front Solution 25,1.0516798371481878e-07,1.9146887112631173e-05,0.7580168132401948,0.6176248968952414,25
Pareto Front Solution 26,5.603699388511661e-07,3.319601716492172e-06,0.9875148379505643,0.9321347073113504,26
Pareto Front Solution 27,7.075963481346787e-08,4.7015551639764495e-06,0.9287323968156639,0.9063087997038294,27
Pareto Front Solution 28,0.002795534486116135,0.24560573050230708,0.00021899899662765676,0.0029103133389647945,28
Pareto Front Solution 29,3.7163109549831584e-08,1.59455115341358e-05,0.7516930101645397,0.7677333755057903,29
Pareto Front Solution 30,5.888326406091792e-08,3.748731296287767e-05,0.5163861020490162,0.48818458443890017,30
Pareto Front Solution 31,3.544298559622457e-08,5.2508094708158294e-05,0.4092748101624854,0.4974749635426924,31
Pareto Front Solution 32,6.115987598781488e-08,2.709253809798764e-05,0.6228844214124217,0.5721121662359908,32
Pareto Front Solution 33,1.8578380999894123e-08,7.75677779683822e-06,0.8856294415758316,0.9155757358909757,33
Pareto Front Solution 34,1.0089009403618273e-07,9.355026124582059e-06,0.8790223252030566,0.7760258861183367,34
Pareto Front Solution 35,1.1303622381426763e-08,6.486079712471141e-06,0.9220615566968587,0.9515973897311654,35
Pareto Front Solution 36,1.9373519060116113e-08,3.299943668118728e-06,0.9486558858445807,0.9654876606529935,36
Pareto Front Solution 37,5.811655802844236e-08,2.4996173553196787e-05,0.6447384569786816,0.5985326654680404,37
Pareto Front Solution 38,6.869393725697155e-08,4.365560015611025e-05,0.4676578648772609,0.4282357454047016,38
Pareto Front Solution 39,7.634385065730308e-08,4.767865656012095e-05,0.4397749964248457,0.3911124946826864,39
Pareto Front Solution 40,4.34080168456759e-08,5.5201281594966775e-05,0.38484305741332986,0.4487945882166633,40
Pareto Front Solution 41,1.393208394131529e-08,3.03682292485259e-06,0.9585747349081385,0.9726392270156329,41
Pareto Front Solution 42,2.6404276627753596e-07,0.00018663764877130496,0.06643687583908604,0.04709407278869577,42
Pareto Front Solution 43,1.1760855938506035e-07,2.3011042893487756e-05,0.7229188922643028,0.5643611929108556,43
Pareto Front Solution 44,4.349197276250857e-08,3.9495625938912634e-05,0.49864286916557,0.536497141018886,44
Pareto Front Solution 45,4.25574649797204e-06,0.00011098286734237342,0.7941546428205306,0.03890354056944038,45
Pareto Front Solution 46,8.345520578039893e-08,0.00020573376234727078,0.05375255138244019,0.09402332213753944,46
Pareto Front Solution 47,5.687804848516658e-08,3.604311618058554e-05,0.5289027437701228,0.5037821154307507,47
Pareto Front Solution 48,2.3639639393919076e-06,8.608785783731017e-05,0.7654026218766625,0.11104015231720243,48
Pareto Front Solution 49,1.0552561822267707e-07,1.9265197663961733e-05,0.7568831131097247,0.6160082053374311,49
Pareto Front Solution 50,7.871519500652875e-08,4.8818432684270214e-05,0.43240073576817784,0.3805483223392885,50
Pareto Front Solution 51,0.004265578282029583,0.3390951913315719,0.0001425836155331758,0.0033204710420062897,51
Pareto Front Solution 52,0.0030372369485885957,0.26231574616162817,0.0002069511009053736,0.003086875988434061,52
Pareto Front Solution 53,2.1420391576852153e-08,1.9918876322264955e-05,0.7284719280039118,0.8012654648831711,53
Pareto Front Solution 54,2.670473756734466e-05,0.00043385537752774233,0.7032647413750998,0.0,54
Pareto Front Solution 55,1.7542706720818284e-07,9.367284290582324e-06,0.9088775641579694,0.7487691359012028,55
Pareto Front Solution 56,9.75353499771489e-07,1.6734002669679876e-05,0.9548566207872972,0.6515841285928549,56
Pareto Front Solution 57,3.7308344464637736e-08,9.451266792171275e-06,0.8439857252433488,0.8490359527668488,57
Pareto Front Solution 58,6.676216993206941e-09,1.1578700415247854e-06,0.9889554328010003,0.9936102690382351,58
Pareto Front Solution 59,2.085547484541696e-07,4.215223962579322e-05,0.5975867019840846,0.3184052641585425,59
Pareto Front Solution 60,8.229067785576205e-07,1.607247429304972e-05,0.9497925515489956,0.7028868141455333,60
Pareto Front Solution 61,1.1281002960941817e-07,2.1578652974733236e-05,0.7354734966664197,0.5842061721947158,61
Pareto Front Solution 62,8.07107221724186e-08,9.66711462766476e-06,0.8623247271373208,0.8070584012983701,62
Pareto Front Solution 63,5.2132115931955644e-08,3.2303616287554754e-05,0.5633654278128675,0.551673968272918,63
Pareto Front Solution 64,1.0592536033077166e-07,5.2755767831591134e-05,0.42126490904805663,0.3143005577127478,64
Pareto Front Solution 65,1.9785216040534184e-08,5.059064344027661e-06,0.922092649767846,0.9471403809183188,65
Pareto Front Solution 66,5.782413126601839e-07,4.333548678497209e-06,0.9839511000018122,0.9120805145810391,66
Pareto Front Solution 67,0.004561653869449604,0.354137061111827,0.00013746538136385006,0.003433250558620545,67
Pareto Front Solution 68,4.693804494368058e-08,0.0001246239000675428,0.14547112883136887,0.22862145911147425,68
Pareto Front Solution 69,2.3627453959046207e-07,4.6228718500633154e-05,0.579035405661813,0.29471047466618205,69
Pareto Front Solution 70,4.108503575110704e-08,9.216445466218698e-06,0.8475074992130749,0.8462222737513465,70
Pareto Front Solution 71,2.5985730599952166e-07,0.00012058849773355568,0.1652288142649481,0.08653938433977205,71
Pareto Front Solution 72,7.813993256159341e-08,8.750374347674524e-05,0.22569678452612374,0.23711879142539602,72
Pareto Front Solution 73,0.0002580657634684339,0.013730625722343286,0.005227566311678442,0.0003608985426427739,73
Pareto Front Solution 74,4.462242137294144e-08,5.653067150316108e-05,0.375912850581884,0.43689495989041016,74
Pareto Front Solution 75,0.03192551088878749,0.8088445007810818,8.460051808600768e-06,0.0014264095478167893,75
Pareto Front Solution 76,4.666459228290463e-08,2.7298192504646753e-05,0.6143154432572525,0.6168193706998435,76
Pareto Front Solution 77,0.03574028922781768,0.8270948735040337,6.939676198793101e-06,0.001294186607569187,77
Pareto Front Solution 78,6.724996979767772e-07,6.264797275857372e-05,0.6292093359735694,0.2150289077811599,78
Pareto Front Solution 79,0.030676470739635198,0.8031993889188369,8.880455379000282e-06,0.0014494263525683326,79
Pareto Front Solution 80,1.4371761474392206e-07,0.00016413789354731683,0.08164576275516891,0.08235445560914938,80
Pareto Front Solution 81,1.1925186069071045e-06,1.9282934624107812e-05,0.9559489091272928,0.5433051892435502,81
Pareto Front Solution 82,1.8482670600482903e-06,3.262960247881226e-05,0.9430372370888029,0.32685032437725875,82
Pareto Front Solution 83,4.123084838192638e-06,0.00011868692453073007,0.7473090785578165,0.0281128746192455,83
Pareto Front Solution 84,5.137292218357059e-08,7.070138400459409e-05,0.2961286209970775,0.34656369331259007,84
Pareto Front Solution 85,2.3231983907064313e-10,6.52511367614077e-06,0.8844234378857969,0.9377693494733251,85
Pareto Front Solution 86,4.2222001371512813e-07,3.752478439735329e-05,0.7507731572455448,0.382513921632435,86
Pareto Front Solution 87,0.026527939871583955,0.7803647239983859,1.1370444385920195e-05,0.0016209417432196398,87
Pareto Front Solution 88,5.611671841729603e-06,7.831607127782757e-05,0.9377336669215207,0.05463702457593028,88
Pareto Front Solution 89,0.04714987670304255,0.8665891743989618,4.215181312689248e-06,0.0010042275420189225,89
Pareto Front Solution 90,6.48259322569267e-07,8.057604769668073e-06,0.9717772048957166,0.8411541344222114,90
Pareto Front Solution 91,2.5148941179618193e-05,0.0008230393721046942,0.00692500392363285,0.0,91
Pareto Front Solution 92,5.1431428000979696e-08,0.00018653731850647723,0.07299691578069405,0.14583639862397949,92
Pareto Front Solution 93,6.647288754513479e-08,4.237204127088953e-05,0.477184875307055,0.4400085750429498,93
Pareto Front Solution 94,6.94244894957014e-08,7.541465421101927e-05,0.27400102781241265,0.2877354406404377,94
Pareto Front Solution 95,1.0880845941316143e-07,6.036050938222096e-05,0.36945797222879306,0.2771717066020551,95
Pareto Front Solution 96,0.06723203459250225,0.9069606290758826,2.1732287436968066e-06,0.0007035197237862289,96
Pareto Front Solution 97,8.958306676884183e-08,9.837634530736889e-05,0.1945438257081993,0.19731315906629196,97
Pareto Front Solution 98,0.01412281964323006,0.6413159553853969,3.129450525694423e-05,0.0025216785978516053,98
Pareto Front Solution 99,0.029153168221929354,0.7932262092475413,9.900034459293498e-06,0.001538520566117305,99
Pareto Front Solution 100,0.013623621133635551,0.6317164474868574,3.3695701503792076e-05,0.0026106091006016163,100
Pareto Front Solution 101,6.614082997359512e-07,7.936985374111031e-05,0.49063559791906886,0.14304735855338466,101
Pareto Front Solution 102,8.420263857832666e-08,1.1224141458144038e-05,0.8432563791292401,0.7758183342270039,102
Pareto Front Solution 103,3.1228608126812063e-07,8.847162400523084e-05,0.30407046995281733,0.12452247987899606,103
Pareto Front Solution 104,1.0080937897024527e-07,0.00015205581089724137,0.09413677388182451,0.11346638110536197,104
Pareto Front Solution 105,6.046224706278764e-08,9.5499544805793e-05,0.20463449467641395,0.2477265147496631,105
Pareto Front Solution 106,2.8504933251397057e-06,3.272619912926188e-05,0.9642469679795564,0.12994657184750405,106
Pareto Front Solution 107,0.0023718743868295514,0.21393328939324677,0.0002493939136906247,0.0025858755115225934,107
Pareto Front Solution 108,2.424464326126698e-07,1.987839944567306e-05,0.8332950290811331,0.5702759654201279,108
Pareto Front Solution 109,0.015186055025785405,0.6595875471051333,2.7610587933799408e-05,0.002387234973439681,109
Pareto Front Solution 110,0.014948541583584291,0.6540051388483905,2.9303401709827265e-05,0.002475464358380346,110
Pareto Front Solution 111,0.011535124809008125,0.5921405230876435,4.146871331353255e-05,0.0027727198995491733,111
Pareto Front Solution 112,7.319237407136069e-08,8.505987118265537e-05,0.23416763117470643,0.25118155463722247,112
Pareto Front Solution 113,1.1468935859850173e-07,9.352582054274799e-05,0.21305964098496485,0.18008597539389803,113
